wave-length (nm),A
530.467,0.2964
530.823,0.3043
531.179,0.2993
531.535,0.3099
531.891,0.2967
532.247,0.2849
532.603,0.3011
532.959,0.3195
533.315,0.303
533.671,0.291
534.027,0.3085
534.382,0.3131
534.738,0.3097
535.094,0.2998
535.449,0.3013
535.805,0.3068
536.16,0.2896
536.516,0.2974
536.871,0.3073
537.226,0.285
537.582,0.2897
537.937,0.2978
538.292,0.301
538.647,0.2993
539.003,0.3105
539.358,0.3064
539.713,0.3038
540.068,0.3047
540.423,0.3051
540.778,0.2955
541.132,0.2891
541.487,0.2902
541.842,0.2842
542.197,0.2974
542.552,0.2959
542.906,0.2929
543.261,0.2992
543.615,0.309
543.97,0.324
544.324,0.3029
544.679,0.3225
545.033,0.308
545.387,0.311
545.742,0.3111
546.096,0.3152
546.45,0.3064
546.804,0.3003
547.158,0.3037
547.512,0.2969
547.866,0.2938
548.22,0.2927
548.574,0.294
548.928,0.2987
549.282,0.2784
549.636,0.3037
549.99,0.3071
550.343,0.3099
550.697,0.3144
551.05,0.3104
551.404,0.2999
551.758,0.2994
552.111,0.2997
552.464,0.3
552.818,0.2991
553.171,0.3032
553.524,0.3136
553.878,0.3069
554.231,0.2974
554.584,0.319
554.937,0.3082
555.29,0.3039
555.643,0.2969
555.996,0.3099
556.349,0.3025
556.702,0.3048
557.055,0.3069
557.408,0.3071
557.76,0.3077
558.113,0.3183
558.466,0.3079
558.818,0.3228
559.171,0.3124
559.523,0.2991
559.876,0.3085
560.228,0.2973
560.581,0.3073
560.933,0.3004
561.285,0.304
561.638,0.3085
561.99,0.3114
562.342,0.3017
562.694,0.3047
563.046,0.313
563.398,0.3144
563.75,0.3195
564.102,0.3084
564.454,0.3103
564.806,0.3182
565.158,0.3058
565.509,0.3051
565.861,0.3156
566.213,0.3019
566.564,0.3127
566.916,0.3086
567.267,0.3015
567.619,0.3077
567.97,0.319
568.322,0.3015
568.673,0.3152
569.024,0.2999
569.376,0.3089
569.727,0.3082
570.078,0.3026
570.429,0.3146
570.78,0.3084
571.131,0.3095
571.482,0.3201
571.833,0.3106
572.184,0.3091
572.535,0.3179
572.885,0.3203
573.236,0.3205
573.587,0.3191
