wave-length (nm),A
594.545,0.1242
594.893,0.1273
595.24,0.133
595.588,0.1381
595.936,0.141
596.284,0.1279
596.631,0.1244
596.979,0.1436
597.327,0.1338
597.674,0.1469
598.022,0.1434
598.369,0.1426
598.716,0.1384
599.064,0.1418
599.411,0.1408
599.758,0.1457
600.105,0.1447
600.453,0.1409
600.8,0.1547
601.147,0.1511
601.494,0.1487
601.841,0.1423
602.188,0.1513
602.535,0.1549
602.881,0.1608
603.228,0.1673
603.575,0.1545
603.922,0.1637
604.268,0.1625
604.615,0.1611
604.961,0.1621
605.308,0.1651
605.654,0.1738
606.001,0.1774
606.347,0.1739
606.693,0.1695
607.04,0.1665
607.386,0.1734
607.732,0.1709
608.078,0.1696
608.424,0.1689
608.77,0.176
609.116,0.1883
609.462,0.1756
609.808,0.1835
610.154,0.1852
610.5,0.1817
610.846,0.1761
611.191,0.1809
611.537,0.1797
611.883,0.1886
612.228,0.1927
612.574,0.1865
612.919,0.1905
613.265,0.1842
613.61,0.1911
613.955,0.1899
614.301,0.1984
614.646,0.1932
614.991,0.1908
615.336,0.1924
615.681,0.1939
616.026,0.1916
616.371,0.1963
616.716,0.1943
617.061,0.1973
617.406,0.1967
617.751,0.1992
618.096,0.1977
618.44,0.1952
618.785,0.1947
619.13,0.1911
619.474,0.1911
619.819,0.1865
620.163,0.2006
620.508,0.1872
620.852,0.1998
621.197,0.2077
621.541,0.2013
621.885,0.1993
622.229,0.2032
622.574,0.2067
622.918,0.2014
623.262,0.203
623.606,0.2055
623.95,0.204
624.294,0.1931
624.638,0.2008
624.981,0.2087
625.325,0.2101
625.669,0.2083
626.013,0.1955
626.356,0.1931
626.7,0.2012
627.043,0.2028
627.387,0.1956
627.73,0.2088
628.074,0.1905
628.417,0.2044
628.761,0.2119
629.104,0.2025
629.447,0.1982
629.79,0.1998
630.133,0.2069
630.476,0.2126
630.819,0.214
631.162,0.22
631.505,0.2197
631.848,0.2161
632.191,0.2091
632.534,0.2188
632.877,0.214
633.219,0.222
633.562,0.2152
633.905,0.2219
634.247,0.2189
634.59,0.2227
634.932,0.2214
635.275,0.2182
635.617,0.2181
635.959,0.2254
636.302,0.2232
636.644,0.2278
636.986,0.2291
637.328,0.2305
637.67,0.2335
638.012,0.2407
638.354,0.249
638.696,0.2483
639.038,0.2438
639.38,0.239
639.722,0.2353
640.064,0.2417
640.405,0.2483
640.747,0.2493
641.089,0.2475
641.43,0.2506
641.772,0.2591
642.113,0.2519
642.455,0.2524
642.796,0.2481
643.137,0.2554
643.479,0.2558
643.82,0.263
644.161,0.2604
644.502,0.2699
644.843,0.2748
645.185,0.2664
645.526,0.2776
645.866,0.2717
646.207,0.2854
646.548,0.2796
646.889,0.2824
647.23,0.2894
647.571,0.3017
647.911,0.2962
648.252,0.2903
648.592,0.2936
648.933,0.3057
649.273,0.3003
649.614,0.3027
649.954,0.3082
650.295,0.3088
650.635,0.3091
650.975,0.3167
651.315,0.312
651.656,0.3135
651.996,0.3205
652.336,0.3124
652.676,0.3194
653.016,0.3093
653.356,0.3291
653.695,0.3315
654.035,0.3249
654.375,0.3265
654.715,0.3348
655.054,0.3482
655.394,0.343
655.734,0.341
656.073,0.3481
656.413,0.3628
656.752,0.3627
657.091,0.3476
657.431,0.3503
657.77,0.3495
658.109,0.3479
658.449,0.3511
658.788,0.3545
659.127,0.3528
659.466,0.3586
659.805,0.3643
660.144,0.362
660.483,0.3628
660.822,0.3799
661.16,0.371
661.499,0.3691
661.838,0.3735
662.177,0.3709
662.515,0.3733
662.854,0.3577
663.192,0.3709
663.531,0.3635
663.869,0.3658
664.208,0.3691
664.546,0.3636
664.884,0.3621
665.222,0.3765
665.561,0.3712
665.899,0.3743
666.237,0.3756
666.575,0.3895
666.913,0.3868
667.251,0.3782
667.589,0.3967
667.927,0.3814
668.264,0.3754
668.602,0.3762
668.94,0.3609
669.278,0.3743
669.615,0.3712
669.953,0.3645
670.29,0.3569
670.628,0.3581
670.965,0.3564
671.303,0.3508
671.64,0.3454
671.977,0.3636
672.314,0.3626
672.652,0.3644
672.989,0.3407
673.326,0.3485
673.663,0.3431
674,0.3449
674.337,0.3477
674.674,0.3467
675.01,0.3365
675.347,0.3185
675.684,0.3187
676.021,0.3085
676.357,0.3067
676.694,0.2961
677.031,0.2767
677.367,0.2751
677.704,0.2797
678.04,0.2684
678.376,0.2576
678.713,0.2639
679.049,0.2652
679.385,0.2764
679.721,0.2619
680.057,0.2565
680.393,0.2544
680.73,0.2418
681.065,0.255
681.401,0.2414
681.737,0.2351
682.073,0.2269
682.409,0.2143
682.745,0.2171
683.08,0.2091
683.416,0.2011
683.752,0.2014
684.087,0.1911
684.423,0.1867
684.758,0.1793
685.093,0.1801
685.429,0.1756
685.764,0.1679
686.099,0.168
686.435,0.1601
686.77,0.1682
687.105,0.156
687.44,0.1484
687.775,0.1469
688.11,0.1417
688.445,0.1456
688.78,0.1415
689.114,0.1381
689.449,0.1321
689.784,0.126
690.119,0.1206
690.453,0.1243
690.788,0.1197
691.122,0.1159
691.457,0.1151
691.791,0.1014
692.126,0.1033
692.46,0.1057
692.794,0.1001
693.128,0.0924
693.463,0.094
693.797,0.0937
694.131,0.0909
694.465,0.0854
694.799,0.0896
695.133,0.0953
695.467,0.0831
695.801,0.0899
696.134,0.0809
696.468,0.0782
696.802,0.08
697.135,0.0745
697.469,0.0759
697.803,0.0756
698.136,0.0675
698.47,0.0685
698.803,0.0657
699.136,0.0605
699.47,0.0617
699.803,0.0532
700.136,0.0553
700.469,0.049
700.802,0.0579
701.135,0.0674
701.468,0.0596
701.801,0.0538
702.134,0.0714
702.467,0.0589
702.8,0.0448
703.133,0.0537
703.465,0.0548
703.798,0.0498
704.131,0.0415
704.463,0.0368
704.796,0.0485
705.128,0.0523
705.461,0.0531
705.793,0.0395
706.125,0.0378
706.458,0.0412
706.79,0.0394
707.122,0.0376
707.454,0.0457
707.786,0.0331
708.118,0.0346
708.45,0.0327
708.782,0.0337
709.114,0.0202
709.446,0.0328
709.778,0.0383
710.11,0.0433
710.441,0.0399
710.773,0.0395
711.104,0.042
711.436,0.0402
711.768,0.0346
712.099,0.03
712.43,0.029
712.762,0.0365
713.093,0.0447
713.424,0.0445
713.755,0.0358
714.087,0.0323
714.418,0.0429
714.749,0.0451
715.08,0.0382
715.411,0.0348
715.742,0.0326
716.072,0.0327
716.403,0.0373
716.734,0.0383
717.065,0.0377
717.395,0.035
717.726,0.0238
718.057,0.0231
718.387,0.0149
718.718,0.0281
719.048,0.0359
719.378,0.0268
719.709,0.0308
720.039,0.0318
720.369,0.0251
720.699,0.0272
721.029,0.0297
721.359,0.0317
721.689,0.0375
722.019,0.0334
722.349,0.0237
722.679,0.0296
723.009,0.0296
723.339,0.0409
723.669,0.0389
723.998,0.037
724.328,0.0356
724.657,0.0327
724.987,0.0372
725.316,0.0304
725.646,0.0355
725.975,0.0412
726.305,0.0416
726.634,0.0384
726.963,0.0235
727.292,0.0272
727.621,0.0259
727.95,0.0276
728.279,0.0232
728.608,0.0307
728.937,0.032
729.266,0.0369
729.595,0.0427
729.924,0.0401
730.253,0.0234
730.581,0.0273
730.91,0.0123
731.238,0.0252
731.567,0.0241
731.896,0.0283
732.224,0.0302
732.552,0.0208
732.881,0.0212
733.209,0.0186
733.537,0.0303
733.865,0.0276
734.194,0.0285
734.522,0.0215
734.85,0.0216
735.178,0.0291
735.506,0.014
735.833,0.0351
736.161,0.0454
736.489,0.0312
736.817,0.039
737.144,0.0395
737.472,0.0294
737.8,0.0358
738.127,0.0318
738.455,0.0296
738.782,0.031
739.11,0.0311
739.437,0.0283
739.764,0.0307
740.091,0.0307
740.419,0.0292
740.746,0.0232
741.073,0.0267
741.4,0.0285
741.727,0.0266
742.054,0.0226
742.381,0.0252
742.708,0.0281
743.034,0.0307
